Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,2,4,-1,-1,-1,7,1
2.01112E+12,3,9,0,2,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,2,4,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,2,0,1,0,0,0,0,3,1,6,2,4,-1,-1,-1,10,1
2.01112E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,8,3
2.01112E+12,1,1,0,9,0,8,0,0,0,0,4,1,6,2,5,-1,-1,-1,8,1
2.01112E+12,2,9,0,18,0,4,0,0,0,0,1,1,6,2,7,-1,-1,-1,9,1
2.01112E+12,1,9,0,10,0,1,0,0,0,0,2,1,6,1,7,-1,-1,-1,9,3
2.01112E+12,1,9,0,9,0,8,0,0,0,0,4,1,6,1,6,-1,-1,-1,9,1
2.01112E+12,2,2,0,18,2,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,6,0,0,0,0,3,1,6,1,9,-1,-1,-1,7,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,4,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,1,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,8,0,8,0,1,0,0,0,0,2,1,6,1,8,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,8,0,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,1,1,6,2,7,-1,-1,-1,8,3
2.01112E+12,2,1,0,18,0,0,0,0,0,0,2,1,6,2,7,-1,-1,-1,8,3
2.01112E+12,1,9,0,18,0,1,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,3,19,0,3,0,0,0,0,0,0,2,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,2,90,0,3,0,0,0,0,0,0,1,1,6,1,8,-1,-1,-1,10,1
2.01112E+12,2,1,0,9,0,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,9,1
2.01112E+12,2,9,0,10,0,1,0,0,0,0,2,1,6,1,8,-1,-1,-1,6,2
2.01112E+12,3,1,0,18,0,2,0,0,0,0,2,1,6,1,8,-1,-1,-1,9,1
2.01112E+12,1,9,0,9,0,3,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,4,0,0,0,0,1,1,6,1,3,-1,-1,-1,3,1
2.01112E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,4,1,6,1,3,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,0,0,0,11,0,0,3,1,6,1,3,-1,-1,-1,7,1
2.01112E+12,1,1,0,18,4,1,0,0,0,0,2,1,6,2,8,-1,-1,-1,10,2
2.01112E+12,2,1,0,10,0,1,0,0,0,0,1,1,6,1,8,-1,-1,-1,9,1
2.01112E+12,1,2,0,3,0,1,0,0,0,0,1,1,6,1,4,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,3,0,1,0,0,0,0,0,1,6,2,-1,-1,-1,-1,3,1
2.01112E+12,3,19,0,4,0,1,0,0,0,0,1,1,6,1,-1,-1,-1,-1,4,1
2.01112E+12,2,9,0,18,0,0,0,0,0,0,1,1,6,1,9,-1,-1,-1,8,2
2.01112E+12,2,1,0,9,0,8,1,0,1,0,0,1,6,2,9,-1,-1,-1,9,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,4,1,6,1,3,-1,-1,-1,9,3
2.01112E+12,1,90,0,9,0,8,0,0,0,0,1,1,6,1,5,-1,-1,-1,7,3
2.01112E+12,3,9,0,3,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,3,1,6,1,11,-1,-1,-1,6,1
2.01112E+12,2,1,0,9,4,8,0,0,0,0,3,1,6,1,6,-1,-1,-1,7,1
2.01112E+12,1,1,0,5,0,1,0,0,0,0,3,1,6,1,8,-1,-1,-1,4,1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,0,1,6,1,5,-1,-1,-1,10,1
2.01112E+12,2,90,0,1,0,2,0,0,0,0,0,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,1,3,0,16,0,6,0,0,0,0,4,1,6,1,5,-1,-1,-1,9,1
2.01112E+12,2,9,0,16,0,6,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,3,1,6,1,7,-1,-1,-1,8,1
2.01112E+12,2,9,4,18,0,0,0,0,0,0,4,1,6,1,7,-1,-1,-1,7,1
2.01112E+12,1,90,0,7,0,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,1
2.01112E+12,2,1,0,18,0,1,0,0,1,0,4,1,6,1,6,-1,-1,-1,3,1
2.01112E+12,2,9,0,18,0,1,0,0,1,9,1,1,6,1,5,-1,-1,-1,7,3
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,6,1
2.01112E+12,1,9,0,2,0,0,0,0,0,0,3,1,6,2,11,-1,-1,-1,10,3
2.01112E+12,2,1,0,18,0,0,0,8,0,0,4,1,6,2,7,-1,-1,-1,10,2
2.01112E+12,1,19,0,9,0,2,0,0,0,0,3,1,6,1,4,-1,-1,-1,8,1
2.01112E+12,2,1,0,18,4,2,0,0,0,0,1,1,6,1,4,-1,-1,-1,8,1
2.01112E+12,2,1,0,8,0,4,0,0,0,0,0,1,6,2,6,-1,-1,-1,-1,-1
2.01112E+12,1,3,0,9,0,3,0,0,0,0,3,1,6,2,8,-1,-1,-1,6,1
2.01112E+12,2,9,0,4,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,3,0,1,0,0,0,0,2,1,6,2,8,-1,-1,-1,10,1
2.01112E+12,3,9,0,18,0,1,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,3,1,6,1,8,-1,-1,-1,8,3
2.01112E+12,1,11,0,2,3,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,18,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,8,2
2.01112E+12,2,9,0,3,0,0,0,0,0,0,2,1,6,1,7,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,0,3,0,0,0,0,0,1,6,1,8,-1,-1,-1,7,1
2.01112E+12,1,1,0,5,0,4,0,0,0,0,1,1,6,1,6,-1,-1,-1,9,2
2.01112E+12,2,9,0,5,0,3,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,5,0,0,0,0,0,0,2,1,6,1,2,-1,-1,-1,2,1
2.01112E+12,1,9,0,18,0,4,0,0,0,0,1,1,6,1,-1,-1,-1,-1,2,1
2.01112E+12,1,1,0,18,4,1,0,4,0,0,1,1,6,1,4,-1,-1,-1,8,1
2.01112E+12,2,9,0,18,0,1,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,14,0,0,0,0,0,0,3,1,6,2,6,-1,-1,-1,9,1
2.01112E+12,1,9,4,18,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,1,1,6,2,5,-1,-1,-1,2,1
2.01112E+12,2,1,0,18,0,3,0,0,0,0,2,1,6,2,8,-1,-1,-1,8,2
2.01112E+12,2,19,0,2,0,0,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,7,0,3,0,0,0,0,4,1,6,2,6,-1,-1,-1,10,3
2.01112E+12,2,1,0,18,0,0,0,0,0,0,1,1,6,1,10,-1,-1,-1,8,2
2.01112E+12,1,9,0,5,0,2,0,0,0,0,3,1,6,2,4,-1,-1,-1,9,2
2.01112E+12,2,1,0,4,4,1,0,0,0,0,3,1,6,1,7,-1,-1,-1,8,1
2.01112E+12,2,9,0,9,0,8,0,0,0,0,3,1,6,1,4,-1,-1,-1,3,1
2.01112E+12,2,1,0,18,0,4,0,0,0,0,1,1,6,2,6,-1,-1,-1,8,1
2.01112E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,1,9,-1,-1,-1,8,2
2.01112E+12,1,9,0,9,0,6,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,6,0,0,0,0,4,1,6,2,4,-1,-1,-1,8,2
2.01112E+12,2,1,0,18,0,8,0,0,0,0,0,1,6,2,9,-1,-1,-1,3,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,4,1,6,1,4,-1,-1,-1,4,1
2.01112E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,3,6,-1,-1,-1,1,1
2.01112E+12,2,9,0,18,0,1,0,0,0,0,2,1,6,3,6,-1,-1,-1,1,1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,4,1,6,1,6,-1,-1,-1,4,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,3,1,6,1,4,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,4,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,5,0,2,0,0,3,10,3,1,6,1,7,-1,-1,-1,7,2
2.01112E+12,1,3,0,18,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,1,1
2.01112E+12,2,1,0,9,0,8,0,0,0,0,2,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,2,0,1,0,0,7,0,0,1,6,1,7,-1,-1,-1,2,1
2.01112E+12,2,2,0,13,0,1,0,0,0,0,0,1,6,1,4,-1,-1,-1,7,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,1,1,6,1,3,-1,-1,-1,2,1
2.01112E+12,2,1,0,18,4,8,0,0,0,0,1,1,6,2,8,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,5,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,9,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,2,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,90,0,18,0,0,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,10,0,1,0,0,0,0,3,1,6,1,8,-1,-1,-1,7,1
2.01112E+12,1,9,0,4,0,0,0,0,0,0,1,1,6,2,5,-1,-1,-1,4,1
2.01112E+12,2,9,0,18,0,0,0,0,0,0,0,1,6,2,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,10,0,1,0,0,0,0,1,1,6,2,8,-1,-1,-1,5,1
2.01112E+12,1,8,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,2,0,10,1,0,4,1,6,2,6,-1,-1,-1,6,1
2.01112E+12,1,8,0,15,0,0,0,0,0,0,1,1,6,1,8,-1,-1,-1,7,1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,4,2,6,2,4,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,0,0,8,0,0,3,1,6,2,6,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,3
2.01112E+12,1,1,0,18,0,4,0,0,0,0,0,1,6,1,11,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,18,0,4,0,0,0,0,0,1,6,2,-1,-1,-1,-1,-1,-1
2.01112E+12,1,90,0,18,0,8,0,0,0,0,4,1,6,1,7,-1,-1,-1,8,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,0,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,2,3,0,18,0,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,10,2
2.01112E+12,1,9,0,18,0,0,0,0,0,0,2,1,6,1,7,-1,-1,-1,8,2
2.01112E+12,2,9,0,13,0,0,1,0,0,0,4,1,6,1,9,-1,-1,-1,3,1
2.01112E+12,2,9,0,5,0,6,0,0,0,0,4,1,6,1,11,-1,-1,-1,7,1
2.01112E+12,1,9,0,18,0,2,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,8,0,3,0,2,0,0,0,0,1,1,6,2,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,2,8,0,0,0,0,1,1,6,1,5,-1,-1,-1,7,1
2.01112E+12,1,9,0,17,0,0,0,0,1,10,1,1,6,1,5,-1,-1,-1,3,1
2.01112E+12,2,1,0,18,4,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,7,1
2.01112E+12,1,1,0,15,0,0,0,0,0,0,2,1,6,1,5,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,7,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,1,20,0,18,4,1,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,4,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,3,4,8,0,0,0,0,0,1,6,2,7,-1,-1,-1,8,1
2.01112E+12,1,9,0,18,0,4,0,0,0,0,1,1,6,1,7,-1,-1,-1,6,1
2.01112E+12,2,1,0,9,4,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,4,1
2.01112E+12,3,9,0,18,0,0,0,0,0,0,2,1,6,2,5,-1,-1,-1,7,3
2.01112E+12,1,9,0,6,0,0,0,0,0,0,2,1,6,2,7,-1,-1,-1,10,2
2.01112E+12,1,2,0,9,0,8,1,0,0,0,4,1,6,2,8,-1,-1,-1,10,2
2.01112E+12,2,1,0,18,0,0,0,0,0,0,0,1,6,1,8,-1,-1,-1,10,1
2.01112E+12,1,9,0,9,0,8,0,0,0,0,3,2,6,2,8,-1,-1,-1,-1,-1
2.01112E+12,1,3,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,9,3
2.01112E+12,2,9,0,18,0,0,0,0,0,0,2,1,6,1,7,-1,-1,-1,9,3
2.01112E+12,1,1,0,18,0,0,0,0,0,0,0,1,6,2,7,-1,-1,-1,6,1
2.01112E+12,2,1,0,9,4,1,0,0,0,0,1,1,6,1,5,-1,-1,-1,3,1
2.01112E+12,1,9,0,1,0,0,0,0,0,0,2,1,6,2,7,-1,-1,-1,10,1
2.01112E+12,2,1,0,17,0,8,0,0,0,0,0,1,6,2,6,-1,-1,-1,8,1
2.01112E+12,1,9,0,10,0,0,0,0,0,0,2,1,6,1,8,-1,-1,-1,9,3
2.01112E+12,2,1,0,15,0,1,0,0,0,0,4,1,6,1,5,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,12,0,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,3,9,0,18,0,0,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,1,1,6,2,4,-1,-1,-1,9,1
2.01112E+12,1,9,0,18,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,2,0,0,0,0,0,1,6,1,8,-1,-1,-1,8,1
2.01112E+12,1,9,0,5,0,6,0,0,0,0,1,1,6,2,8,-1,-1,-1,10,2
2.01112E+12,1,9,0,9,0,5,0,0,0,0,1,1,6,1,4,-1,-1,-1,4,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,4,1,6,2,5,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,5,0,4,0,0,0,0,2,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,4,0,0,0,0,0,0,2,1,6,1,9,-1,-1,-1,2,1
2.01112E+12,3,9,0,4,0,0,0,0,0,0,0,1,6,1,7,-1,-1,-1,2,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,5,1
2.01112E+12,1,1,0,17,0,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,2,0,0,0,0,3,1,6,1,2,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,4,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,3
2.01112E+12,2,1,0,18,4,0,0,0,0,0,2,1,6,2,6,-1,-1,-1,9,1
2.01112E+12,1,2,0,17,0,1,0,0,1,0,1,1,6,2,4,-1,-1,-1,10,1
2.01112E+12,1,9,0,10,0,1,0,0,0,0,3,1,6,1,9,-1,-1,-1,9,2
2.01112E+12,2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,4,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,3,1,6,2,8,-1,-1,-1,4,1
2.01112E+12,1,8,0,4,0,1,0,0,0,0,2,1,6,1,7,-1,-1,-1,8,2
2.01112E+12,3,9,0,4,0,1,0,0,0,0,0,1,6,1,6,-1,-1,-1,10,2
2.01112E+12,2,1,0,18,4,0,0,0,0,0,3,1,6,1,5,-1,-1,-1,9,1
2.01112E+12,1,19,0,1,9,0,0,0,0,0,2,1,6,1,6,-1,-1,-1,2,1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,1,8,-1,-1,-1,5,1
2.01112E+12,1,9,0,18,0,8,1,0,0,0,1,1,6,1,7,-1,-1,-1,1,1
2.01112E+12,4,9,0,3,0,8,0,0,0,0,2,1,6,1,-1,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,4,0,5,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,4,1,6,2,5,-1,-1,-1,-1,-1
2.01112E+12,1,4,0,13,0,0,1,0,0,0,1,1,6,1,5,-1,-1,-1,5,1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,3,1,6,1,6,-1,-1,-1,6,1
2.01112E+12,2,5,0,12,0,0,1,0,7,0,1,1,6,1,7,-1,-1,-1,5,3
2.01112E+12,1,1,0,18,4,1,0,0,0,0,1,1,6,1,4,-1,-1,-1,6,1
2.01112E+12,1,9,0,7,0,6,0,0,0,0,1,1,6,1,9,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,5,1,0,0,0,0,1,1,6,1,9,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,4,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,3,1
2.01112E+12,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,3,1,6,2,4,-1,-1,-1,-1,-1
2.01112E+12,2,4,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,10,1
2.01112E+12,1,1,0,18,0,8,0,0,0,0,2,1,6,2,6,-1,-1,-1,4,1
2.01112E+12,2,9,0,5,0,8,0,0,0,0,1,1,6,2,6,-1,-1,-1,4,1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,4,1,6,1,4,-1,-1,-1,6,1
2.01112E+12,1,9,0,16,0,0,1,0,5,6,1,1,6,1,7,-1,-1,-1,2,1
2.01112E+12,1,9,4,18,0,0,5,0,0,0,0,1,6,1,9,-1,-1,-1,2,1
2.01112E+12,1,19,0,18,0,0,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,18,0,0,0,0,0,0,2,1,6,2,8,-1,-1,-1,7,2
2.01112E+12,1,1,0,18,0,6,0,0,0,0,1,1,6,1,4,-1,-1,-1,8,1
2.01112E+12,1,9,0,5,0,2,0,0,0,0,1,1,6,1,9,-1,-1,-1,10,2
2.01112E+12,2,1,0,5,0,2,0,0,0,0,2,1,6,2,8,-1,-1,-1,6,1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,1,4,-1,-1,-1,5,1
2.01112E+12,2,5,0,16,0,0,0,0,0,0,1,1,6,1,4,-1,-1,-1,8,3
2.01112E+12,2,1,0,18,0,0,0,0,0,0,4,1,6,2,8,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,4,9,5,0,0,0,0,1,1,6,1,8,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,0,0,0,0,6,1,1,6,2,8,-1,-1,-1,10,2
2.01112E+12,3,9,0,4,0,1,0,0,0,0,1,1,6,1,9,-1,-1,-1,-1,-1
2.01112E+12,1,2,0,17,0,2,1,0,0,0,1,1,6,1,4,-1,-1,-1,6,1
2.01112E+12,2,9,0,18,0,1,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,5,0,6,0,0,0,0,2,1,6,1,9,-1,-1,-1,3,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,0,1,6,1,7,-1,-1,-1,8,1
2.01112E+12,1,9,4,18,0,1,1,0,0,0,1,1,6,1,9,-1,-1,-1,5,2
2.01112E+12,3,9,0,10,0,1,0,0,0,0,0,1,6,1,7,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,12,0,1,0,0,0,0,3,1,6,1,4,-1,-1,-1,10,2
2.01112E+12,2,9,0,13,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,3,1,6,1,6,-1,-1,-1,9,1
2.01112E+12,2,1,0,18,0,4,0,0,0,0,1,1,6,2,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,3,0,0,0,0,4,1,6,1,11,-1,-1,-1,7,1
2.01112E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,1,5,-1,-1,-1,10,2
2.01112E+12,2,1,0,18,4,0,0,0,0,0,1,1,6,1,7,-1,-1,-1,6,1
2.01112E+12,1,1,0,18,0,8,0,0,0,0,3,1,6,1,8,-1,-1,-1,5,3
2.01112E+12,1,1,0,18,0,8,0,0,0,0,0,1,6,1,7,-1,-1,-1,8,1
2.01112E+12,2,9,0,10,0,2,0,0,0,0,2,1,6,1,7,-1,-1,-1,10,1
2.01112E+12,2,1,0,9,0,1,0,0,0,0,2,1,6,1,4,-1,-1,-1,5,1
2.01112E+12,2,1,0,5,0,4,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,3
2.01112E+12,2,17,0,9,0,1,0,0,0,0,3,1,6,1,7,-1,-1,-1,10,1
2.01112E+12,1,1,0,18,0,0,0,4,0,0,1,1,6,1,5,-1,-1,-1,2,1
2.01112E+12,2,1,0,18,4,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,6,1
2.01112E+12,1,9,0,9,0,6,0,0,0,0,1,1,6,1,4,-1,-1,-1,7,1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,4,1,6,1,3,-1,-1,-1,9,3
2.01112E+12,2,9,0,18,0,1,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,18,0,2,0,0,0,0,4,1,6,2,6,-1,-1,-1,-1,-1
2.01112E+12,2,20,0,18,0,2,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
2.01112E+12,1,20,0,7,0,3,0,0,0,0,4,1,6,1,9,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,4,8,0,0,0,0,3,1,6,2,7,-1,-1,-1,3,1
2.01112E+12,1,9,0,9,0,3,0,0,0,0,1,1,6,1,5,-1,-1,-1,7,1
2.01112E+12,1,9,0,1,0,0,0,0,0,0,2,1,6,2,8,-1,-1,-1,4,1
2.01112E+12,1,9,0,18,0,2,0,0,0,0,4,1,6,1,11,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,0,1,0,0,0,0,1,1,6,1,6,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,0,1,6,2,5,-1,-1,-1,2,1
2.01112E+12,2,9,0,1,0,0,0,0,0,0,0,1,6,1,8,-1,-1,-1,3,1
2.01112E+12,1,2,0,18,0,0,0,0,1,0,0,1,6,1,4,-1,-1,-1,9,2
2.01112E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,2,8,-1,-1,-1,9,1
2.01112E+12,1,9,0,5,0,6,0,0,0,0,1,1,6,1,6,-1,-1,-1,1,1
2.01112E+12,2,1,0,18,0,8,0,0,0,0,4,1,6,2,11,-1,-1,-1,9,1
2.01112E+12,2,9,0,2,0,0,0,0,0,0,2,1,6,1,8,-1,-1,-1,9,1
2.01112E+12,1,19,0,16,0,0,0,0,0,0,1,1,6,1,10,-1,-1,-1,9,3
2.01112E+12,2,1,0,18,0,1,0,0,0,0,2,1,6,1,5,-1,-1,-1,7,1
2.01112E+12,2,9,0,5,0,0,0,0,0,10,1,1,6,1,5,-1,-1,-1,-1,-1
2.01112E+12,1,8,0,18,0,0,1,0,0,0,1,1,6,1,9,-1,-1,-1,9,1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,2,1,6,1,4,-1,-1,-1,9,1
2.01112E+12,2,9,0,18,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,4,1,0,0,0,0,0,1,6,2,7,-1,-1,-1,10,2
2.01112E+12,2,1,0,18,0,1,0,0,0,0,4,1,6,1,10,-1,-1,-1,10,1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,0,1,6,1,8,-1,-1,-1,8,2
2.01112E+12,2,9,0,18,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,1,9,0,9,0,1,0,0,0,0,1,1,6,1,8,-1,-1,-1,7,1
2.01112E+12,2,9,0,18,0,1,0,0,7,10,3,1,6,1,6,-1,-1,-1,6,2
2.01112E+12,1,9,0,18,0,0,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
2.01112E+12,2,9,0,4,0,0,0,0,0,0,1,1,6,1,8,-1,-1,-1,5,1
2.01112E+12,1,5,0,4,0,0,1,0,0,0,0,1,6,1,8,-1,-1,-1,8,1
2.01112E+12,1,1,0,18,0,8,0,0,0,0,1,1,6,2,7,-1,-1,-1,6,1
2.01112E+12,2,1,0,18,4,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,1
2.01112E+12,1,1,0,18,0,0,0,0,0,0,3,1,6,2,8,-1,-1,-1,-1,-1
2.01112E+12,2,1,0,18,0,0,0,0,0,0,4,1,6,1,7,-1,-1,-1,4,1
2.01112E+12,1,1,0,18,0,1,0,0,0,0,1,1,6,2,7,-1,-1,-1,10,1
2.01112E+12,2,1,0,18,0,4,0,0,0,0,4,1,6,1,7,-1,-1,-1,10,1
2.01112E+12,1,90,0,18,0,1,0,0,1,0,1,1,6,1,7,-1,-1,-1,8,1
2.01212E+12,1,9,0,18,0,0,0,0,7,4,1,1,6,1,6,-1,-1,-1,10,2
